time,delta,seconds_remaining,replicated_game_state_time_remaining,is_overtime,ball_has_been_hit
212.7148,0.0347227,147,,,1
212.74951,0.034723,147,,,1
212.78423,0.0347229,147,,,1
212.81894,0.034723103,147,,,1
212.85365,0.0347229,147,,,1
212.88837,0.0347232,147,,,1
212.92308,0.034722902,147,,,1
212.9578,0.034722697,147,,,1
212.99251,0.034723103,147,,,1
213.02722,0.0347231,147,,,1
213.06194,0.0347233,147,,,1
213.09666,0.0347379,147,,,1
213.13138,0.0347283,147,,,1
213.16609,0.0347231,147,,,1
213.2008,0.0347231,147,,,1
213.23552,0.0347228,147,,,1
213.27023,0.0347233,147,,,1
213.30495,0.0347231,147,,,1
213.33966,0.034722798,147,,,1
213.37437,0.0347228,147,,,1
213.40909,0.0347231,147,,,1
213.4438,0.034723002,147,,,1
213.47852,0.034722798,147,,,1
213.51323,0.0347233,147,,,1
213.54794,0.0347232,147,,,1
213.58266,0.0347247,147,,,1
213.61737,0.0347228,147,,,1
213.65208,0.0347231,147,,,1
213.6868,0.0347229,147,,,1
213.72151,0.034723002,147,,,1
213.75623,0.034723297,147,,,1
213.79094,0.034723103,147,,,1
213.82565,0.034723,147,,,1
213.86037,0.034723,147,,,1
213.89508,0.034723002,147,,,1
213.9298,0.034723,147,,,1
213.96451,0.0347228,147,,,1
213.99922,0.0347229,147,,,1
214.03394,0.034722902,147,,,1
214.06865,0.0347229,147,,,1
214.10336,0.0347231,147,,,1
214.13808,0.0347231,147,,,1
214.17279,0.0347228,147,,,1
214.2075,0.034723,147,,,1
214.24222,0.034723103,147,,,1
214.27693,0.034722798,147,,,1
214.31168,0.0347512,147,,,1
214.34644,0.034762803,147,,,1
214.38115,0.034722798,147,,,1
214.41586,0.034722902,147,,,1
214.45058,0.0347231,147,,,1
214.48529,0.0347229,147,,,1
214.52,0.0347228,147,,,1
214.55472,0.034722902,147,,,1
214.58943,0.034722798,147,,,1
214.62415,0.034723002,147,,,1
214.6589,0.0347602,147,,,1
214.69362,0.0347231,147,,,1
214.72833,0.034723,147,,,1
214.76305,0.0347231,147,,,1
214.79776,0.034723002,147,,,1
214.83247,0.0347229,147,,,1
214.86719,0.034723002,147,,,1
214.90192,0.034736097,147,,,1
214.93663,0.034722902,147,,,1
215.1729,0.0,147,,,1
215.21172,0.0388238,147,,,1
215.24643,0.0347264,147,,,1
215.28114,0.034723002,147,,,1
215.31586,0.0347231,147,,,1
215.35057,0.0347228,147,,,1
215.38528,0.034722697,147,,,1
215.42,0.034723002,147,,,1
215.45471,0.0347229,147,,,1
215.48943,0.0347232,147,,,1
215.52414,0.0347227,147,,,1
215.55885,0.034723,147,,,1
215.59357,0.0347228,147,,,1
215.62828,0.0347232,147,,,1
215.66406,0.0357862,147,,,1
215.70079,0.0367336,147,,,1
215.7355,0.0347231,147,,,1
215.77022,0.034723,147,,,1
215.80493,0.0347228,147,,,1
215.83965,0.034722798,147,,,1
215.87436,0.034723103,147,,,1
